"person_id";"primary_name";"birth_year";"death_year";"primary_profession";"known_for_titles"
449984;"Irvin Kershner";1923;2010;"director,cinematographer,actor";"tt0110725,tt0100502,tt0080684,tt0086006"
450116;"Brian Kerwin";1949;0;"actor,producer,soundtrack";"tt0116669,tt0988595,tt0096289,tt0062595"
451122;"Chulpan Khamatova";1975;0;"actress";"tt0170259,tt0417319,tt0301357,tt0477337"
451148;"Aamir Khan";1965;0;"actor,producer,soundtrack";"tt5074352,tt0986264,tt0169102,tt2338151"
451234;"Irrfan Khan";1967;2020;"actor,director,producer";"tt0369610,tt1010048,tt1620933,tt2350496"
451321;"Shah Rukh Khan";1965;0;"actor,producer,soundtrack";"tt1188996,tt2176013,tt0238936,tt1285241"
451600;"Anupam Kher";1955;0;"actor,producer,music_department";"tt5461944,tt6986710,tt0466460,tt0088031"
452288;"Margot Kidder";1948;2018;"actress,producer,soundtrack";"tt0078767,tt0071222,tt0081573,tt0078346"
452319;"Beeban Kidron";1961;0;"director,producer,writer";"tt0098032,tt0114682,tt3101474,tt0317198"
452748;"Rya Kihlstedt";1970;0;"actress,director,writer";"tt0773262,tt0119303,tt1495708,tt0120647"
452860;"Rinko Kikuchi";1981;0;"actress,director,writer";"tt1663662,tt0844286,tt0449467,tt3263614"
453248;"Buzz Kilman";1944;0;"actor";"tt0107818,tt0368008,tt0102926,tt0091983"
453518;"Jee-woon Kim";1964;0;"director,writer,producer";"tt1588170,tt0365376,tt0456912,tt0901487"
454120;"Takuya Kimura";1972;0;"actor,soundtrack";"tt0483578,tt5084170,tt0212712,tt1477109"
454236;"Richard Kind";1956;0;"actor,soundtrack,writer";"tt0120623,tt1019452,tt1024648,tt2096673"
454415;"Adrienne King";1955;0;"actress,miscellaneous,producer";"tt0080761,tt0082418,tt1829744,tt7798990"
454598;"Cleo King";1962;0;"actress,soundtrack,director";"tt1119646,tt0910936,tt0258470,tt0175880"
455078;"Michael Patrick King";1954;0;"producer,writer,director";"tt0159206,tt0434672,tt1000774,tt1261945"
455702;"Roy Kinnear";1934;1988;"actor,soundtrack";"tt0067992,tt0066344,tt0059260,tt0078480"
455741;"Jack Kinney";1909;1992;"director,producer,writer";"tt0046593,tt0038718,tt0032910,tt0033563"
456124;"Bruno Kirby";1949;2006;"actor,soundtrack,director";"tt0112461,tt0101587,tt0093105,tt0098635"
456732;"Karey Kirkpatrick";1964;0;"writer,soundtrack,producer";"tt0120630,tt0416236,tt0327084,tt6182908"
457090;"Ken Kirzinger";1959;0;"stunts,actor";"tt0800080,tt0338337,tt0409459,tt0329101"
457755;"Eartha Kitt";1927;2008;"music_artist,soundtrack,actress";"tt0103859,tt0120917,tt0465327,tt0311289"
459030;"Rudolf Klein-Rogge";1885;1955;"actor,writer,miscellaneous";"tt0013086,tt0019415,tt0023563,tt0017136"
459170;"Randal Kleiser";1946;0;"director,actor,producer";"tt0080453,tt0103247,tt0077631,tt0091059"
460578;"Herbert Knaup";1956;0;"actor";"tt0130827,tt0111183,tt4695442,tt2186566"
460694;"Robert Knepper";1959;0;"actor,soundtrack,producer";"tt0465494,tt1129442,tt0455275,tt1951266"
